t_sec,elevation_deg,azimuth_deg,range_km,doppler_hz,fspl_db,snr_db
0,10.007780418984813,296.7646100993168,1395.5489982285735,0.0,161.36550169984383,8.634498300156167
2,10.203844294048,296.4539861598175,1383.6662634947759,39636.53659958862,161.29122695556754,8.708773044432462
4,10.401735187663942,296.13754344569696,1371.8283575854207,39487.003736949206,161.21659543491103,8.783404565088972
6,10.601465517706915,295.81514892420944,1360.036987775611,39331.7760175601,161.14161430668997,8.858385693310026
8,10.80305897402399,295.4866464470089,1348.2931840979334,39173.11247929237,161.06628669482137,8.933713305178628
10,11.006534538895918,295.1518819971751,1336.598254030231,39010.08766438829,160.99061770284828,9.009382297151717
12,11.211914499280065,294.81069035923446,1324.9533114104534,38843.34748600503,160.91461141150512,9.08538858849488
14,11.419207773836563,294.4629226092788,1313.36021371924,38670.41141913388,160.8382770302781,9.161722969721893
16,11.628434583877029,294.108404848595,1301.8201578288306,38493.48301620499,160.76161975372582,9.238380246274176
18,11.83960983969044,293.7469654374283,1290.334619392307,38311.63236442554,160.6846469023779,9.315353097622108
20,12.052751424285704,293.3784206264277,1278.9048900959317,38125.473111052714,160.6073648725573,9.392635127442702
22,12.267862857290956,293.0026042742979,1267.5329976258968,37932.550224578816,160.52978539567988,9.47021460432012
24,12.484958863390027,292.61932329659527,1256.2203274959722,37735.005761634355,160.45191624627108,9.548083753728918
26,12.704052520771583,292.22837916306526,1244.968319624936,37532.65824664712,160.37376591722187,9.626234082778126
28,12.925141679256713,291.82959210586245,1233.7791434817843,37323.07416203112,160.29534840136375,9.704651598636246
30,13.148235211283358,291.4227538871788,1222.6543414286946,37108.34531097428,160.21667379925248,9.783326200747524
32,13.373335216712086,291.0076590556881,1211.5957368782924,36887.534210090605,160.13775464437168,9.862245355628318
34,13.60044577886123,290.58408852145885,1200.6049884463553,36661.19056249628,160.0586027831357,9.941397216864289
36,13.82955441512855,290.1518437898405,1189.6844744834848,36426.91359123676,159.97923579389249,10.020764206107515
38,14.060659239138172,289.7106958403407,1178.835967987552,36186.72253567074,159.89966747991525,10.100332520084748
40,14.293750461163672,289.2604190467766,1168.0615239185606,35939.676871362266,159.81991428241412,10.180085717585882
42,14.528819403340485,288.8007734318938,1157.363044503003,35686.2860624652,159.7399921310851,10.260007868914897
44,14.76583924642717,288.33154189250547,1146.7431400763476,35424.188111681804,159.6599229297193,10.3400770702807
46,15.004793086732823,287.8524748041844,1136.203839227109,35155.3235179737,159.57972496173176,10.420275038268244
48,15.2456547269299,287.3633269145731,1125.747452702481,34878.75110129684,159.49941937190823,10.500580628091768
50,15.488397935068384,286.86383816912667,1115.3761510923232,34594.93837619438,159.41902699719134,10.580973002808662
52,15.732976504220488,286.35377427198654,1105.092799040391,34301.57022806857,159.33857489304984,10.661425106950162
54,15.979353163769527,285.83286660455497,1094.899704709729,34000.502876766855,159.25808668609812,10.741913313901875
56,16.227484686056375,285.30084162418507,1084.7992551164366,33691.47329681087,159.17758747952604,10.82241252047396
58,16.477306324383118,284.75745423261714,1074.7945186986274,33372.20850902536,159.09710877179572,10.902891228204282
60,16.728761321070085,284.2024238963089,1064.8880272287793,33044.49863728095,159.01667879716445,10.983321202835555
62,16.98178051590093,283.63547760367567,1055.0825914674404,32707.413077546178,158.93632906073333,11.063670939266672
64,17.236291978714927,283.056327933579,1045.380903805763,32361.346667624963,158.85609116297894,11.143908837021058
66,17.492200009131057,282.46472039423395,1035.7863175611672,32004.094794792345,158.7760033095753,11.223996690424713
68,17.74941535412783,281.8603640880891,1026.3016764846782,31637.357189582704,158.6961006799632,11.303899320036805
70,18.007834241454024,281.24297869008893,1016.9300979579523,31260.22111845755,158.6164219390011,11.3835780609989
72,18.26734819093488,280.6122708017527,1007.6745919763737,30873.044783463527,158.5370060767941,11.462993923205886
74,18.52782257977479,279.9679857527187,998.5388035349185,30473.710053957173,158.45789884040153,11.542101159598474
76,18.789127435586032,279.3098323549446,989.5258951432797,30063.82632760829,158.3791431902559,11.620856809744112
78,19.0511213178024,278.63752067167565,980.6391159659612,29643.104555080386,158.30078416322175,11.69921583677825
80,19.313634905084946,277.95080490414625,971.8823261720622,29209.506644423233,158.22287360300118,11.777126396998824
82,19.5765021065134,277.24940341259196,963.2589230567154,28764.576576995914,158.14546072825925,11.854539271740748
84,19.839538491223063,276.53305378764173,954.7725572388009,28307.469355731675,158.0685984674596,11.931401532540406
86,20.102551365672554,275.80148597247324,946.4267842852446,27838.502039822226,157.99234036356978,12.007659636430219
88,20.365318164636843,275.05448292097844,938.2257311517342,27355.768681513706,157.91674670217202,12.08325329782798
90,20.62761779569085,274.2917939096367,930.1730860405734,26860.732804561794,157.84187529980045,12.15812470019955
92,20.889209111044902,273.51319481143827,922.2727696847796,26352.618769994988,157.76778763693568,12.23221236306432
94,21.149841128005352,272.718459220098,914.5286081871891,25831.742230121545,157.69454582485918,12.305454175140824
96,21.409231839865782,271.90742467628843,906.9449488420628,25296.36467748067,157.62221844081637,12.377781559183632
98,21.667099523817683,271.0798988182921,899.5257205924868,24747.881581383906,157.5508716304838,12.449128369516188
100,21.923141675011014,270.23572517789427,892.2750551157266,24185.6166934,157.48057494935227,12.519425050647726
102,22.17704537617334,269.3747521455074,885.1969829661513,23609.907323203213,157.41139841415026,12.588601585849744
104,22.428467054552115,268.49690495739577,878.2959931751009,23019.224156234086,157.34341794300252,12.656582056997479
106,22.677063408273842,267.6020842338044,871.5761717247492,22414.911619796898,157.276706881939,12.723293118061008
108,22.92247623559704,266.69021892006896,865.0416373797287,21796.860363379994,157.21134015388355,12.788659846116445
110,23.164318438039714,265.76132541843396,858.696911280556,21163.728205506435,157.14739792830022,12.852602071699778
112,23.402204370150418,264.81540012127385,852.5461191215641,20516.834212660466,157.08495754899252,12.91504245100748
114,23.635730907563225,263.8524950352852,846.5935111660408,19855.762867534388,157.02409862208287,12.975901377917126
116,23.864488035345257,262.87268229825344,840.8432050751081,19180.95648334378,156.9649002925138,13.03509970748621
118,24.088041789316744,261.876135870512,835.2996337258081,18491.363612956564,156.9074457326838,13.092554267316189
120,24.30596332472581,260.8630156869215,829.9668396497052,17788.286308733335,156.85181473321455,13.148185266785447
122,24.517812042872976,259.83354844682714,824.8489299948623,17071.509033235743,156.79808822058516,13.201911779414843
124,24.723146137742653,258.7879889962276,819.9498500907688,16341.571555123875,156.7463457293714,13.253654270628601
126,24.92150822720807,257.72670668523773,815.2737604546489,15597.756085377754,156.69666920933372,13.30333079066628
128,25.112452357117473,256.6500608051685,810.8244322025613,14841.361526471886,156.64913644559067,13.35086355440933
