pass_id,went_critical,reactive_trigger_t,predictive_trigger_t,lead_time_sec,outcome
pass_01,True,346.0,336.0,10.0,predictive_earlier
pass_02,False,,324.0,,unverifiable_near_data_end
pass_03,True,376.0,366.0,10.0,predictive_earlier
pass_04,False,,306.0,,unverifiable_near_data_end
pass_05,False,,,,no_critical_event
pass_06,True,108.0,108.0,0.0,same_time
pass_07,True,332.0,322.0,10.0,predictive_earlier
pass_08,False,,,,no_critical_event
pass_09,False,,308.0,,unverifiable_near_data_end
pass_10,True,54.0,54.0,0.0,same_time
pass_11,False,,,,no_critical_event
pass_12,True,300.0,290.0,10.0,predictive_earlier
pass_13,False,,,,no_critical_event
pass_14,False,,,,no_critical_event
pass_15,False,,238.0,,unverifiable_near_data_end
pass_16,True,58.0,58.0,0.0,same_time
pass_17,True,332.0,322.0,10.0,predictive_earlier
pass_18,True,268.0,258.0,10.0,predictive_earlier
pass_19,False,,,,no_critical_event
pass_20,True,52.0,52.0,0.0,same_time
pass_21,False,,264.0,,unverifiable_near_data_end
pass_22,False,,284.0,,unverifiable_near_data_end
pass_23,False,,332.0,,unverifiable_near_data_end
pass_24,True,354.0,344.0,10.0,predictive_earlier
pass_25,False,,,,no_critical_event
